,Topic,Keywords,Docs,Children,Parent,Level
25,"(25,)","([('sediment', 0.02287776954472065), ('time', 0.017975682392716408), ('using', 0.017431005835533142), ('estimate', 0.017022499814629555), ('river', 0.016613991931080818), ('measurement', 0.015660807490348816), ('source', 0.015388470143079758), ('rate', 0.013754441402852535), ('surface', 0.013482103124260902), ('area', 0.011848073452711105)],)","(721,)","([311, 217, 33],)","(17,)","(3,)"
26,"(26,)","([('type', 0.01894468069076538), ('poi', 0.016579551622271538), ('similarity', 0.011849294416606426), ('embeddings', 0.009484166279435158), ('station', 0.004753908608108759), ('auto', 0.004753908608108759), ('shop', 0.004753908608108759), ('planetarium', 0.004753908608108759), ('word2vec', 0.004753908608108759), ('place', 0.004753908608108759)],)","(4,)","([223],)","(16,)","(3,)"
27,"(27,)","([('dans', 0.030432064086198807), ('los', 0.02198340743780136), ('sur', 0.016914213076233864), ('climate', 0.01353474985808134), ('fish', 0.010155286639928818), ('sont', 0.010155286639928818), ('plus', 0.008465555496513844), ('effets', 0.008465555496513844), ('est', 0.008465555496513844), ('con', 0.006775823887437582)],)","(9,)","([125],)","(18,)","(3,)"
28,"(28,)","([('todos', 0.01168349664658308), ('soja', 0.009351461194455624), ('estimativas', 0.007019425742328167), ('com', 0.007019425742328167), ('grande', 0.004687390755861998), ('rio', 0.004687390755861998), ('valores', 0.004687390755861998), ('modis', 0.004687390755861998), ('cultivada', 0.004687390755861998), ('sul', 0.004687390755861998)],)","(4,)","([714, 307],)","(20,)","(3,)"
29,"(29,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(1,)","([36],)","(23,)","(3,)"
30,"(30,)","([('precursor', 0.0092436783015728), ('oer', 0.006938521284610033), ('reaction', 0.006938521284610033), ('electrocatalysts', 0.006938521284610033), ('photoelectrode', 0.006938521284610033), ('doped', 0.006938521284610033), ('v2o5', 0.006938521284610033), ('cathode', 0.004633364733308554), ('nanostructured', 0.004633364733308554), ('oxygen', 0.004633364733308554)],)","(3,)","([127, 121],)","(21,)","(3,)"
31,"(31,)","([('shark', 0.025353968143463135), ('sanctuary', 0.015222513116896152), ('satellite', 0.00762392021715641), ('fishing', 0.00762392021715641), ('leveraging', 0.005091056693345308), ('vessel', 0.005091056693345308), ('effective', 0.005091056693345308), ('illegal', 0.005091056693345308), ('enforcement', 0.0025581924710422754), ('ambitious', 0.0025581924710422754)],)","(4,)","([124],)","(22,)","(3,)"
32,"(32,)","([('water', 0.06536826491355896), ('source', 0.02822861261665821), ('urban', 0.015105933882296085), ('california', 0.015105933882296085), ('sample', 0.013867945410311222), ('tracer', 0.01188716385513544), ('microbial', 0.01188716385513544), ('quality', 0.010649175383150578), ('human', 0.010153979994356632), ('fecal', 0.009411187842488289)],)","(1476,)","([155, 791, 1156, 974, 706, 201, 409, 411, 414, 91, 40],)","(24,)","(4,)"
33,"(33,)","([('specie', 0.04249127581715584), ('plant', 0.02453337423503399), ('ecosystem', 0.02309032902121544), ('effect', 0.01876119337975979), ('fire', 0.01699747145175934), ('rate', 0.01603544130921364), ('biomass', 0.013790704309940338), ('soil', 0.013470027595758438), ('growth', 0.012187320739030838), ('california', 0.011064951308071613)],)","(711,)","([200, 204, 45, 413, 41],)","(25,)","(4,)"
34,"(34,)","([('soil', 0.0689820796251297), ('plant', 0.0307612344622612), ('carbon', 0.030368555337190628), ('microbial', 0.023169424384832382), ('organic', 0.018326371908187866), ('concentration', 0.017541011795401573), ('community', 0.014006893150508404), ('effect', 0.012305280193686485), ('site', 0.0116508137434721), ('nutrient', 0.010603667236864567)],)","(1269,)","([520, 710, 784, 203, 526, 970, 786, 787, 159, 207, 708, 277, 276, 89, 153, 44, 43],)","(24,)","(4,)"
35,"(35,)","([('message', 0.011991096660494804), ('voter', 0.009597664698958397), ('text', 0.009597664698958397), ('incumbent', 0.007204231806099415), ('politician', 0.007204231806099415), ('irregularity', 0.007204231806099415), ('corruption', 0.007204231806099415), ('election', 0.007204231806099415), ('accountable', 0.007204231806099415), ('councillor', 0.007204231806099415)],)","(4,)","([46],)","(188,)","(4,)"
36,"(36,)","([('model', 2.9001477741985582e-05), ('change', 2.9001477741985582e-05), ('water', 2.9001477741985582e-05), ('specie', 2.9001477741985582e-05), ('climate', 2.9001477741985582e-05), ('using', 2.9001477741985582e-05), ('soil', 2.9001477741985582e-05), ('rate', 2.9001477741985582e-05), ('system', 2.9001477741985582e-05), ('surface', 2.9001477741985582e-05)],)","(1,)","([88],)","(29,)","(4,)"
37,"(37,)","([('analog', 0.012792405672371387), ('performance', 0.010663885623216629), ('thermoelectric', 0.010663885623216629), ('acid', 0.006406845524907112), ('reaction', 0.006406845524907112), ('magn', 0.006406845524907112), ('attention', 0.006406845524907112), ('microstructure', 0.006406845524907112), ('thin', 0.004278325475752354), ('film', 0.004278325475752354)],)","(23,)","([709, 415],)","(24,)","(4,)"
38,"(38,)","([('detachment', 0.028542594984173775), ('std', 0.026348698884248734), ('drime', 0.015379215590655804), ('ama', 0.015379215590655804), ('footwall', 0.010991422459483147), ('hangingwall', 0.00879752542823553), ('orogen-parallel', 0.006603628862649202), ('ptt', 0.006603628862649202), ('nno', 0.006603628862649202), ('dominated', 0.006603628862649202)],)","(27,)","([90],)","(24,)","(4,)"
39,"(39,)","([('formation', 0.02151188999414444), ('described', 0.01955804042518139), ('assemblage', 0.015650339424610138), ('urucum', 0.011742639355361462), ('porter', 0.009788788855075836), ('kwagunt', 0.009788788855075836), ('vsms', 0.009788788855075836), ('knoll', 0.009788788855075836), ('lake', 0.007834939286112785), ('callison', 0.007834939286112785)],)","(35,)","([152, 93, 705, 279, 92],)","(24,)","(4,)"
40,"(40,)","([('soil', 0.024859154596924782), ('particle', 0.01999196968972683), ('velocity', 0.01999196968972683), ('motion', 0.019296657294034958), ('microbial', 0.018079860135912895), ('ground', 0.017906032502651215), ('organic', 0.017210720106959343), ('earthquake', 0.012691189534962177), ('structure', 0.012343533337116241), ('plant', 0.012343533337116241)],)","(1357,)","([873, 543, 448, 288, 487, 53, 451, 331, 330, 294, 48],)","(32,)","(5,)"
41,"(41,)","([('rate', 0.023088686168193817), ('fault', 0.022468896582722664), ('rock', 0.0158061683177948), ('age', 0.013481958769261837), ('basin', 0.012862170115113258), ('deformation', 0.011467644944787025), ('along', 0.010847856290638447), ('channel', 0.01038301456719637), ('terrace', 0.00945333018898964), ('southern', 0.008988488465547562)],)","(683,)","([1179, 540, 49],)","(33,)","(5,)"
42,"(42,)","([('kunlun', 0.014994636178016663), ('film', 0.014994636178016663), ('black', 0.01000474113970995), ('liquor', 0.007509792689234018), ('fluid', 0.007509792689234018), ('heat', 0.005014845170080662), ('transfer', 0.005014845170080662), ('falling', 0.005014845170080662), ('evaporator', 0.005014845170080662), ('surfactant', 0.005014845170080662)],)","(7,)","([454],)","(305,)","(5,)"
43,"(43,)","([('specie', 0.02920897863805294), ('wave', 0.024473026394844055), ('model', 0.020526399835944176), ('dispersal', 0.020131736993789673), ('dynamic', 0.017763761803507805), ('structure', 0.016579773277044296), ('size', 0.015395786613225937), ('community', 0.015395786613225937), ('interaction', 0.014606460928916931), ('rate', 0.014211799018085003)],)","(473,)","([180, 748, 537, 449, 876, 874, 749, 695, 691, 693, 181, 51],)","(34,)","(5,)"
44,"(44,)","([('spectral', 0.020561140030622482), ('lst', 0.017214754596352577), ('spectrum', 0.016736701130867004), ('tree', 0.016736701130867004), ('angle', 0.013868371956050396), ('vegetation', 0.013390317559242249), ('scattering', 0.012912262231111526), ('index', 0.012912262231111526), ('analysis', 0.011956152506172657), ('mean', 0.011000042781233788)],)","(588,)","([875, 692, 617, 292, 52],)","(34,)","(5,)"
45,"(45,)","([('magma', 0.02675965428352356), ('arc', 0.015619082376360893), ('h2o', 0.015619082376360893), ('fo2', 0.015619082376360893), ('calc-alkaline', 0.011162853799760342), ('aleutian', 0.011162853799760342), ('magmatic', 0.008934739045798779), ('subducted', 0.006706624291837215), ('elevated', 0.006706624291837215), ('plate', 0.006706624291837215)],)","(7,)","([333],)","(33,)","(5,)"
46,"(46,)","([('clade', 0.0168586615473032), ('calcaneum', 0.012048772536218166), ('leontiniid', 0.012048772536218166), ('advanced', 0.009643828496336937), ('toxodontia', 0.009643828496336937), ('regarding', 0.004833938553929329), ('extension', 0.004833938553929329), ('horizon', 0.004833938553929329), ('notohippid', 0.004833938553929329), ('monophyletic', 0.004833938553929329)],)","(4,)","([140],)","(35,)","(5,)"
47,"(47,)","([('property', 0.01176581159234047), ('nanocubes', 0.01176581159234047), ('sers', 0.009417346678674221), ('msy', 0.009417346678674221), ('nanostructures', 0.007068880368024111), ('maxcatch', 0.007068880368024111), ('hierarchical', 0.007068880368024111), ('nanomaterials', 0.007068880368024111), ('raman', 0.007068880368024111), ('wavelength', 0.004720414988696575)],)","(12,)","([136],)","(310,)","(5,)"
48,"(48,)","([('water', 0.026585889980196953), ('ocean', 0.025439994409680367), ('sediment', 0.023950332775712013), ('concentration', 0.023835742846131325), ('river', 0.0190229881554842), ('surface', 0.01822086237370968), ('flux', 0.016158252954483032), ('channel', 0.015585306100547314), ('co2', 0.01409564446657896), ('lake', 0.01329351868480444)],)","(1234,)","([802, 1054, 839, 1023, 1132, 1051, 934, 433, 766, 237, 764, 194, 658, 836, 626, 762, 734, 800, 761, 628, 683, 341, 466, 533, 338, 118, 397, 374, 113, 233, 117, 86, 56],)","(40,)","(6,)"
49,"(49,)","([('climate', 0.04959569126367569), ('water', 0.028195541352033615), ('precipitation', 0.028195541352033615), ('model', 0.021401844918727875), ('change', 0.021062159910798073), ('forest', 0.017835155129432678), ('land', 0.015457360073924065), ('area', 0.012230354361236095), ('regional', 0.011890669353306293), ('vegetation', 0.011890669353306293)],)","(670,)","([801, 832, 765, 1022, 855, 834, 920, 865, 735, 193, 342, 503, 763, 732, 528, 606, 591, 604, 585, 83, 392, 531, 501, 436, 167, 337, 235, 369, 301, 257, 161, 114, 61, 57],)","(41,)","(6,)"
50,"(50,)","([('radar', 0.010080189444124699), ('-band', 0.010080189444124699), ('fmcw', 0.007566426414996386), ('cmos', 0.007566426414996386), ('oscillator', 0.0050526633858680725), ('chip', 0.0050526633858680725), ('ring', 0.0050526633858680725), ('snowpack', 0.0050526633858680725), ('transceiver', 0.0050526633858680725), ('on-chip', 0.0025389003567397594)],)","(3,)","([160],)","(152,)","(6,)"
51,"(51,)","([('10be', 0.03019610233604908), ('emission', 0.027837399393320084), ('gas', 0.026893917471170425), ('energy', 0.02311999537050724), ('sample', 0.01698737032711506), ('methane', 0.01604389026761055), ('technology', 0.01557214930653572), ('record', 0.014628669247031212), ('section', 0.013685188256204128), ('policy', 0.011798227205872536)],)","(362,)","([624, 256, 657, 1021, 299, 393, 261, 730, 119, 502, 437, 370, 343, 59],)","(43,)","(6,)"
52,"(52,)","([('ocean', 0.03814280405640602), ('lake', 0.02860780619084835), ('flux', 0.01654883474111557), ('marine', 0.015707509592175484), ('wind', 0.015707509592175484), ('wave', 0.014866186305880547), ('phytoplankton', 0.014585745520889759), ('estimate', 0.013183539733290672), ('larval', 0.01290309801697731), ('transport', 0.012622657231986523)],)","(500,)","([630, 464, 586, 1048, 932, 921, 923, 922, 535, 232, 498, 532, 500, 371, 80, 60],)","(44,)","(6,)"
53,"(53,)","([('lci', 0.02700919285416603), ('distribution', 0.02700919285416603), ('ecoinvent', 0.025509515777230263), ('database', 0.01951080560684204), ('uncertainty', 0.015011772513389587), ('conclusion', 0.01351209543645382), ('lcis', 0.01351209543645382), ('pre-calculated', 0.012012417428195477), ('lca', 0.010512740351259708), ('datasets', 0.010512740351259708)],)","(7,)","([870],)","(40,)","(6,)"
