Topic,Keywords,Num_Docs,Children,Parent,Level
26,"['habitat', 0.04169653728604317), 'coral', 0.036694955080747604), 'canyon', 0.0333605632185936), 'sea', 0.016688618808984756), 'sponge', 0.015021423809230328), 'fish', 0.015021423809230328), 'reef', 0.013354228809475899), 'whelk', 0.010019839741289616), 'structure', 0.008352645672857761), 'bering', 0.008352645672857761)]",8,[],257,3
27,"['eon-rose', 0.011881932616233826), 'est', 0.00990490522235632), 'seau', 0.007927878759801388), 'station', 0.007927878759801388), 'array', 0.007927878759801388), 'earth', 0.005950850900262594), 'syst', 0.005950850900262594), 'canadian', 0.005950850900262594), 'network', 0.005950850900262594), 'cordillera', 0.005950850900262594)]",1,[],21,3
28,"['bloom', 0.04836531728506088), 'pseudo-nitzschia', 0.013354228809475899), 'huxleyi', 0.011687034741044044), 'ocean', 0.011687034741044044), 'spp', 0.011687034741044044), 'development', 0.010019839741289616), 'current', 0.010019839741289616), 'cell', 0.010019839741289616), 'barbara', 0.008352645672857761), 'coccolithophore', 0.008352645672857761)]",3,[],16,3
29,"['zircon', 0.06758125871419907), 'baddeleyite', 0.024984944611787796), '231pa', 0.014703074470162392), 'sample', 0.014703074470162392), 'crystallization', 0.014703074470162392), 'upb', 0.013234236277639866), 'high-precision', 0.013234236277639866), 'igneous', 0.011765397153794765), 'initial', 0.01029655896127224), 'grain', 0.00882771983742714)]",9,[],19,3
30,"['predator', 0.021646128967404366), 'chytriodinium', 0.0137783857062459), 'predation', 0.011811450123786926), 'population', 0.011811450123786926), 'sequence', 0.010827981866896152), 'native', 0.010827981866896152), 'may', 0.010827981866896152), 'laevis', 0.009844513610005379), 'ssu', 0.009844513610005379), 'invasion', 0.00886104628443718)]",9,[],16,3
31,"['microfossil', 0.018762461841106415), 'urucum', 0.010241816751658916), 'dacruchares', 0.010241816751658916), 'tonian', 0.010241816751658916), 'knoll', 0.008537687361240387), 'vsms', 0.008537687361240387), 'porter', 0.008537687361240387), 'kwagunt', 0.008537687361240387), 'torquata', 0.0068335579708218575), 'meisterfeld', 0.0068335579708218575)]",4,[],20,3
32,"['material', 0.022676875814795494), 'element', 0.022676875814795494), 'reference', 0.021058253943920135), 'zircon', 0.019439633935689926), 'measured', 0.014583772048354149), 'measurement', 0.014583772048354149), 'trace', 0.012965151108801365), 'mad559', 0.012965151108801365), 'fraction', 0.009727910161018372), 'rence', 0.008109289221465588)]",3,[],21,3
33,"['toxicity', 0.027467641979455948), 'nanoparticles', 0.01735064759850502), 'growth', 0.015182719565927982), 'cadmium', 0.013737434521317482), 'qds', 0.012292149476706982), 'cell', 0.012292149476706982), 'effect', 0.011569507420063019), 'silver', 0.011569507420063019), 'electron', 0.010846864432096481), 'ion', 0.010124222375452518)]",15,[],16,3
34,"['shell', 0.031132956966757774), 'flow', 0.020401155576109886), 'mollusc', 0.01718161441385746), 'lava', 0.015035253949463367), 'core', 0.012888893485069275), 'microstructure', 0.012888893485069275), 'tml', 0.012888893485069275), 'group', 0.012888893485069275), 'microstructures', 0.011815713718533516), 'stanislaus', 0.011815713718533516)]",10,[],20,3
35,"['gene', 0.016660194844007492), 'bacterial', 0.012962038628757), 'pathway', 0.011112960986793041), 'strain', 0.011112960986793041), 'nanomaterials', 0.011112960986793041), 'nanomaterial', 0.009263882413506508), 'ϼg', 0.009263882413506508), 'toxicity', 0.007414804305881262), 'ps-nh', 0.007414804305881262), 'aeruginosa', 0.007414804305881262)]",3,[],22,3
