,Document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
76,76,0.10566577421193048,0.16151426846610514,0.23959317657104565,0.13715289852223092,0.09427926800379972,0.08456870663333525,0.09690407132045156,0.08032183627110105
77,77,0.09260586349988671,0.11992695506621712,0.3369023657609323,0.09550035728625994,0.06618389253556904,0.10777885212638282,0.09625253175140304,0.08484918197334891
78,78,0.05014713294470455,0.07199694959375987,0.06262567369244902,0.028816518121496708,0.03998900118499177,0.06805164396023033,0.5444483968418893,0.13392468366047847
79,79,0.29181571943498313,0.07665788052285653,0.14754349257250582,0.12230986379035712,0.0587626174393365,0.13300639785283508,0.06571716680453894,0.10418686158258685
80,80,0.15448399016153377,0.07592678671005537,0.4134405784218174,0.07109514095354974,0.06884806870747409,0.10724383118512873,0.04612435477402018,0.06283724908642078
81,81,0.15439928292301022,0.06759044914190318,0.42154892614681355,0.07098785091564466,0.06920355357207647,0.10721043673509932,0.04606537790868474,0.0629941226567679
82,82,0.05705495569665861,0.041984405571639294,0.07659100476297998,0.11759712163605422,0.06063865204349159,0.07631051938031459,0.49123679576546603,0.07858654514339565
83,83,0.18798888205649936,0.1379399660284778,0.06479026194175104,0.09035596284383615,0.07850352674464772,0.30300969824508095,0.0650263000982432,0.07238540204146372
84,84,0.09341140726303365,0.06529927790634141,0.09548718649831718,0.19508297807194117,0.30306121590195056,0.07866005740229974,0.08983029425072006,0.07916758270539634
85,85,0.09873722763627774,0.05076877961885211,0.1886938342229575,0.3443355721987227,0.0471549295194325,0.057949190394480564,0.14624834587216057,0.06611212053711644
86,86,0.09522190951178676,0.13057594655287266,0.3044584363500621,0.08909710166249254,0.07095471339739051,0.07287057441687891,0.14786339441180776,0.08895792369670884
87,87,0.38266453676610174,0.06411882681483451,0.25443801693315893,0.06473607444748782,0.05194547134629192,0.05592141945701201,0.04542537085265131,0.08075028338246168
88,88,0.10633482489284869,0.1424106675833487,0.10168588958688671,0.11865902862618445,0.10304843558104974,0.10816335796342247,0.10762439569424458,0.21207340007201478
89,89,0.060289007871462956,0.08186379437493162,0.31779997242167823,0.18585133294250417,0.09111253319471653,0.08817513790735418,0.09814558352424828,0.07676263776310406
90,90,0.07554883841297118,0.04348103479108272,0.07344033062188562,0.500480014460571,0.08930568906150539,0.05840312819625964,0.049524165200598554,0.10981679925512587
91,91,0.07518679495414624,0.1394321167857235,0.059765007161702,0.060713811998269314,0.06234585283019359,0.08086457382540564,0.05661112599504553,0.4650807164495142
92,92,0.09513737386765225,0.06367805006485418,0.08696394856528161,0.16889824585514665,0.0647354356513311,0.10015275472534986,0.10528439697801868,0.31514979429236584
93,93,0.33396527951001326,0.07656755306745486,0.055144916873472144,0.23614315928150703,0.15012402154772028,0.06666947604997399,0.03373042781373022,0.04765516585612813
94,94,0.6268422037724778,0.05997436880074462,0.047461957470725784,0.05727743643222788,0.06125978275902549,0.04475711830764562,0.04263900595626935,0.059788126500883436
95,95,0.09190272792353114,0.07997360674816076,0.08854503678260224,0.054014230222412814,0.08404618594746587,0.43546612773269594,0.0632545172134671,0.10279756742966412
96,96,0.07039579290321063,0.08064654017651997,0.08947229175143809,0.0513847296142924,0.4506893889434228,0.10773131831252616,0.07751231789110033,0.07216762040748965
97,97,0.07507620293227939,0.057593928560100455,0.05019291408287315,0.05869464127105616,0.05308047330280754,0.04377979787487604,0.5717291379086354,0.08985290406737192
