,Topic,Keyword,Weight
79,7,california,0.01727299044678182
80,8,fault,0.038508867173362285
81,8,basin,0.029822656532754253
82,8,rate,0.023887079261672096
83,8,fold,0.01643141512848353
84,8,uplift,0.012812160694896851
85,8,active,0.011436844010133913
86,8,central,0.010640608034744842
87,8,tectonic,0.010133912414042706
88,8,slip,0.009627216793340571
89,8,deformation,0.009554831704668839
90,9,area,0.06011762143323895
91,9,coastal,0.0469396645610978
92,9,california,0.02918754084077543
93,9,restoration,0.023851012851230667
94,9,region,0.02363319538226966
95,9,wetland,0.023088651709867132
96,9,habitat,0.020365933347854498
97,9,include,0.019494663472010454
98,9,local,0.017861032454802875
99,9,coast,0.017316488782400347
100,10,increase,0.0541304575437127
101,10,effect,0.03444665480054444
102,10,decline,0.028059889016856875
103,10,factor,0.0243953512721181
104,10,loss,0.023034237252643704
105,10,reduce,0.022196628625274842
106,10,decrease,0.021568422154748194
107,10,change,0.0189508951942205
108,10,host,0.0189508951942205
109,10,reduction,0.018113286566851638
110,11,model,0.3187139066645856
111,11,predict,0.027313875448727955
112,11,parameter,0.0206024660527548
113,11,develop,0.019431871390666457
114,11,simulation,0.01919775245824879
115,11,prediction,0.018807554237552676
116,11,simulate,0.017012642422350555
117,11,modeling,0.016232245980958328
118,11,uncertainty,0.01490557203059154
119,11,variable,0.014671453098173873
120,12,group,0.03127229488703924
121,12,analysis,0.02235434007134364
122,12,describe,0.017122473246135552
123,12,reveal,0.014863258026159334
124,12,form,0.012366230677764566
125,12,include,0.01117717003567182
126,12,common,0.01070154577883472
127,12,abundant,0.01070154577883472
128,12,analyse,0.010463733650416172
129,12,important,0.010463733650416172
130,13,earthquake,0.034636871508379886
131,13,velocity,0.020627417275461968
132,13,seismic,0.020025784271594328
133,13,source,0.01667382896433176
134,13,fault,0.014954877524709927
135,13,structure,0.013665663944993554
136,13,rupture,0.011860764933390631
137,13,km,0.011860764933390631
138,13,frequency,0.011860764933390631
139,13,ground_motion,0.011602922217447357
140,14,system,0.05015923566878981
141,14,test,0.039609872611464966
142,14,time,0.039410828025477705
143,14,mechanism,0.03463375796178344
144,14,lead,0.028363853503184714
145,14,event,0.027169585987261147
146,14,occur,0.025179140127388536
147,14,condition,0.02109872611464968
148,14,suggest,0.01930732484076433
149,14,long,0.01711783439490446
150,15,community,0.06525458248472506
151,15,ecosystem,0.039266802443991854
152,15,diversity,0.0360081466395112
153,15,specie,0.03014256619144603
154,15,effect,0.024928716904276987
155,15,biomass,0.022484725050916497
156,15,experiment,0.014093686354378819
157,15,productivity,0.01384928716904277
158,15,biodiversity,0.013686354378818738
159,15,function,0.013441955193482688
160,16,temperature,0.09139213602550478
161,16,pressure,0.025611052072263548
162,16,result,0.02497343251859724
163,16,increase,0.018809776833156218
164,16,range,0.018172157279489905
165,16,system,0.015940488841657812
166,16,volume,0.014558979808714134
167,16,thermal,0.014240170031880977
168,16,phase,0.012539851222104145
169,16,state,0.012433581296493093
170,17,ca,0.01937576003242805
171,17,age,0.01751114714227807
