,Document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42
10,10,0.014812181256896088,0.010140676802211007,0.023520525371353813,0.02514574311289084,0.0,0.0,0.057492551078730754,0.0,0.011491305888300414,0.015175088741488785,0.0,0.0,0.023003298396478144,0.0,0.014864075459782527,0.019716331510712514,0.0,0.0,0.013142342047349912,0.0,0.012001207312551018,0.0,0.0,0.0,0.01177585360194356,0.012805164146287025,0.0,0.010052527808854716,0.0,0.0,0.014485162941946728,0.10665424081441843,0.017236965790005127,0.020644322912089053,0.013067761740520573,0.03228631091203014,0.3242071236270111,0.0,0.0,0.010929117270746911,0.0,0.0,0.011477151722641948
11,11,0.0,0.0,0.0,0.0,0.15883111930301452,0.0,0.0,0.04079690691347508,0.014004560997303604,0.0,0.02687560558755128,0.06294154674509378,0.0,0.0,0.015014699124011547,0.02798079386483541,0.011172532397787767,0.0,0.0,0.0,0.0,0.020217494967391034,0.0,0.24873237361889292,0.0,0.0,0.016382097203129626,0.0,0.010766397288014132,0.0,0.011665606178593605,0.0,0.026777060144339133,0.05493799320873345,0.0,0.0,0.02530620369449573,0.014318592530015072,0.015557950159724747,0.011927226246090765,0.0,0.040628261495806485,0.019599020289099232
12,12,0.027328689493257695,0.013830337347503196,0.0,0.011337931652877668,0.04874023559283485,0.012188911397696206,0.010884355745087474,0.023800691096658364,0.02237884081820431,0.0,0.010467081162537873,0.0,0.010452308245428506,0.0,0.014006599302558128,0.014893498883126665,0.017942820658634985,0.012620191820537006,0.0,0.011738137993461581,0.010432233589534249,0.03824587636439524,0.014183500099469799,0.01312687813535044,0.33509211931551014,0.03289282706570951,0.018473860471517535,0.012220756030657661,0.011682419882856038,0.014640770508312726,0.018048251067916226,0.0,0.0,0.0,0.011318079628683649,0.01760958707689708,0.0,0.011891605973831616,0.01683514563707381,0.027741569706336424,0.010182015662754989,0.0195592852008677,0.01743893894588345
13,13,0.0,0.0,0.0,0.0,0.27813307974512885,0.0109195377948895,0.0,0.011380292172871124,0.0,0.0,0.013213655257358351,0.0,0.0,0.01188475631200153,0.02628193307780435,0.04748583154845005,0.012907573063878615,0.0,0.0,0.0,0.011300855168086205,0.0,0.02043498550882963,0.0,0.0,0.0,0.0,0.0,0.22640898152109273,0.0,0.0,0.0,0.03400074423638764,0.0,0.011436211997245527,0.0,0.0,0.011104102628520024,0.0,0.012830516614770531,0.0,0.06984621961876197,0.0
14,14,0.024323023967848616,0.01724234608533021,0.011621037830285837,0.0,0.02335318047629052,0.0,0.0,0.0,0.0,0.0,0.011440755531517821,0.011623598218283617,0.0,0.0,0.0,0.0,0.0,0.0,0.019933654808542905,0.0,0.0,0.04233816735231522,0.0319727296129635,0.023341814447243477,0.03685901483053316,0.04248118013404855,0.0,0.0,0.014891324001166403,0.0,0.0,0.0,0.04929980891436087,0.0,0.0,0.01570848742676222,0.013995667017426853,0.0,0.0,0.3980979331736265,0.01641616094608327,0.022393572435299165,0.0
15,15,0.010604276163116285,0.01812002987155197,0.011856554752855707,0.010148607690125776,0.013398183042500737,0.0,0.010328868299305714,0.020562610604516533,0.014179531098905643,0.0106272678001984,0.010613421773281421,0.0,0.027805080928789076,0.0,0.013261988852644235,0.010326017743305708,0.0,0.011841991535743444,0.010241192913256682,0.012633665496627618,0.01379341472840715,0.010007006047668136,0.02592031238685737,0.02220699547304466,0.01380760613228367,0.011673390329129807,0.4359565861489524,0.014206683866537693,0.0,0.011362108810553776,0.017386587324192727,0.025712233466725295,0.025975431955671417,0.0,0.012766447054390026,0.0,0.0,0.0,0.01531673340802811,0.015673371495555297,0.0,0.0,0.0
16,16,0.010604266119423129,0.01812230054169544,0.011856672345454225,0.010148609591962645,0.013397819105757736,0.0,0.010328847256672533,0.020561743335292943,0.014179283660193755,0.010627100521459439,0.010613454698042864,0.0,0.02780182512727159,0.0,0.013262595443591036,0.01032607025412512,0.0,0.011842446291648285,0.010241185949147214,0.012633397762137816,0.013796208464340333,0.010006916685652038,0.02592106565138722,0.022201683360376628,0.013808282817954324,0.011673505248582364,0.43595270281043663,0.01420785291154305,0.0,0.011362475271316239,0.017394192601861053,0.02571191065318935,0.025975354890299875,0.0,0.012765135652442436,0.0,0.0,0.0,0.015315286135380775,0.01567393508443964,0.0,0.0,0.0
17,17,0.028317541226147512,0.021581652838035183,0.0,0.013254906084383787,0.0,0.010225640675548594,0.02708890610684609,0.0,0.42327414462617824,0.0,0.0,0.04327747150888842,0.0,0.011839702494349551,0.043857142630242964,0.0,0.0,0.012667560009807954,0.0,0.010568557248352161,0.02041550536816798,0.0,0.022544785434119557,0.013307876911272165,0.0,0.0,0.0,0.0,0.0,0.017636680899436073,0.011264566270238256,0.01432184702325771,0.02636220079320869,0.016008711483545063,0.02148089959387482,0.0,0.0,0.01216388694077006,0.0,0.0,0.0,0.0,0.0
18,18,0.018154106767613053,0.0,0.0,0.0,0.0,0.0,0.0,0.041353617441506764,0.0,0.0,0.0,0.0746240530408222,0.0,0.016578956552215248,0.01118844638248852,0.0,0.038567445838955744,0.0,0.022408323155279894,0.0,0.0,0.0,0.0,0.0,0.0,0.04339244690906616,0.0,0.0,0.0,0.3698049179885841,0.020978173618554762,0.01873981009479682,0.0,0.012044699395345162,0.0,0.0,0.0,0.021435216889925467,0.0,0.0,0.037425927253536516,0.056323026821006685,0.0
19,19,0.10498228239892789,0.010724553638214404,0.0,0.0,0.0,0.0,0.02526820646631742,0.0,0.0,0.06322917768842731,0.011008289600817036,0.0,0.0,0.013040890588540433,0.011134848350412166,0.0,0.0,0.0,0.0,0.026098748757161273,0.0,0.0,0.0,0.011901483124487447,0.0,0.04514120721276788,0.01058493763794534,0.0,0.02272060148244562,0.0,0.0,0.018202927313625304,0.01763691606875074,0.11455263982279186,0.0,0.028073315004370693,0.23124909780110733,0.028744436175677505,0.0,0.010049758687419657,0.0,0.010765440972505692,0.023161439954457238
20,20,0.0,0.0,0.0,0.0,0.015461408139707443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6336089511101384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01436936409307434,0.0,0.0,0.0,0.011727866768592015,0.010125519603708655,0.0,0.04002996325199098,0.0,0.015118652920691979,0.0
21,21,0.016843787712172802,0.02670648057102563,0.0,0.01167055538188376,0.0,0.0,0.0,0.02106616662313154,0.35008276733548616,0.03290145751569524,0.0,0.03196763622381151,0.0,0.05332420884076397,0.03664352274880305,0.0,0.0,0.0,0.0,0.02008284265881645,0.03956260713083831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04076528850590529,0.0444741187721761,0.0,0.024384929734774054,0.09295127136161047,0.0,0.0,0.0,0.0,0.0,0.022050273621575845,0.0
22,22,0.0,0.013501438005538184,0.011905591274283655,0.02221991372038033,0.011496555812191075,0.01130218986803276,0.0,0.044688894474667964,0.022473692495536046,0.014375887355652043,0.010915345333811728,0.0,0.0,0.2577155884767197,0.0259760608146189,0.0,0.03796248665140012,0.02012405806517179,0.0,0.01713943182988953,0.011568630701394335,0.010900295632503455,0.040571179478137126,0.014417724277661732,0.010089804149614476,0.011006776504515732,0.010228969054444951,0.010159414942286771,0.011313245907919382,0.018789562442257293,0.0,0.016967114804160632,0.01874973483127602,0.020309568104828122,0.0,0.04031564979309576,0.010361987168828194,0.0,0.02468429016962063,0.0,0.06851346995972732,0.022577230806819976,0.010681824000665245
23,23,0.0,0.013710109535087238,0.0,0.08220271740505777,0.0,0.0,0.0,0.0,0.3119294023858472,0.0,0.0,0.013322514573509595,0.024163747156037918,0.010668340306273292,0.011218059921071256,0.0,0.010385053777901943,0.17825273950467843,0.0,0.0,0.019200638712572382,0.0,0.026365185942187647,0.015463916021987253,0.0,0.0,0.01802325529414194,0.0,0.0,0.0,0.0,0.0,0.020957414615014592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030829921817995848,0.01926286399689061,0.0
