,Document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42
10,10,0.014812638014241573,0.010140721974177926,0.02351107969362512,0.025145164310567965,0.0,0.0,0.057488378578245077,0.0,0.01149114464394061,0.015176060918178563,0.0,0.0,0.023007660620101105,0.0,0.014864645315863054,0.01972395150492475,0.0,0.0,0.013142387213804915,0.0,0.012002155779996271,0.0,0.0,0.0,0.01177654112019538,0.012804940131326428,0.0,0.01005257697879138,0.0,0.0,0.01448482362052179,0.10666044361345113,0.01723459914615732,0.02064500153666704,0.013064342531863053,0.03228654019118605,0.324204051199258,0.0,0.0,0.010929706512776713,0.0,0.0,0.011477924729422731
11,11,0.0,0.0,0.0,0.0,0.1588301221083754,0.0,0.0,0.040791622639207964,0.014005178324470307,0.0,0.026873881404218695,0.06293974976149179,0.0,0.0,0.015020672083722583,0.027982259477740683,0.011178763516764794,0.0,0.0,0.0,0.0,0.02021707726813339,0.0,0.2487310329072938,0.0,0.0,0.01638224773164088,0.0,0.01076673518713826,0.0,0.011665054497944272,0.0,0.02677759604709844,0.05493722648924911,0.0,0.0,0.02530321610826448,0.014318615882266475,0.015557629477840436,0.011925630935793527,0.0,0.04062626576181159,0.019601410105516723
12,12,0.027328647441672033,0.01383033823732823,0.0,0.01133769134017255,0.048741977748436624,0.012189182454150602,0.010884513623485605,0.023801154602164254,0.022378824008178807,0.0,0.010466797221812544,0.0,0.010452153921190385,0.0,0.01400661763464727,0.014892961075119265,0.017926293764497645,0.012620924565041809,0.0,0.011737746065902952,0.010432014958553807,0.03822787757635162,0.014190118441516382,0.013130852412200624,0.335094754355333,0.03290175058445504,0.018473661848442773,0.012221294257753767,0.011683811932388289,0.014641696640065368,0.01804844880071495,0.0,0.0,0.0,0.011318249061994261,0.01761024804198499,0.0,0.011891552701065781,0.016832997025986705,0.02774437889770225,0.010181997174645909,0.01956759390429899,0.017437232347553965
13,13,0.0,0.0,0.0,0.0,0.2781220143509636,0.010919555382104528,0.0,0.011379501638634734,0.0,0.0,0.01321700216957337,0.0,0.0,0.011884736060203918,0.026282673093200322,0.047482909529049634,0.012891266730385691,0.0,0.0,0.0,0.011301205118192376,0.0,0.02045457353070718,0.0,0.0,0.0,0.0,0.0,0.22641198152024186,0.0,0.0,0.0,0.0340007435880977,0.0,0.011436274869707446,0.0,0.0,0.01110344820047279,0.0,0.012835924915630783,0.0,0.06984849361780518,0.0
14,14,0.024318002848432264,0.01724256104577677,0.011617475247530602,0.0,0.02335403413184115,0.0,0.0,0.0,0.0,0.0,0.011436145927081148,0.011623447379581186,0.0,0.0,0.0,0.0,0.0,0.0,0.019938299531159973,0.0,0.0,0.04233958830965993,0.03197523484276933,0.023333277715723785,0.036857464729128,0.042482149644871424,0.0,0.0,0.014891137283296094,0.0,0.0,0.0,0.04929961564625398,0.0,0.0,0.015708859437428606,0.014009583309983996,0.0,0.0,0.39809632610868895,0.01641784183954315,0.022393795691408282,0.0
15,15,0.010604792351877026,0.018124259542249003,0.011856695393075656,0.010148588256781417,0.013397857661354458,0.0,0.01032876707055764,0.020561715674568347,0.01418086490978202,0.010627098947792379,0.010613735389420079,0.0,0.02780212442905057,0.0,0.013262651662385418,0.010326040563733764,0.0,0.011842741923680235,0.010241574758661326,0.012633356918241878,0.013794936438268138,0.010006886940929691,0.025926914061781683,0.02218913814191757,0.01380817398941225,0.011672474080795442,0.43595221477728624,0.014207870907938324,0.0,0.011362850188699664,0.01739481057213462,0.025711587909172415,0.025975504449474704,0.0,0.012766294100851158,0.0,0.0,0.0,0.01531630076798283,0.015675288799251168,0.0,0.0,0.0
16,16,0.010604463279091404,0.01812045082618442,0.011856681175232765,0.010148575722131445,0.013398160414238334,0.0,0.01032889030639435,0.020562023147721625,0.014179955503673977,0.010627218328170457,0.010613547397632279,0.0,0.027803919780280704,0.0,0.013262047284703085,0.01032605754006539,0.0,0.0118426106463739,0.010241380872495341,0.012633709312066069,0.013793293293147565,0.010006931727378082,0.025927967138878762,0.022200663399119754,0.013807483703576432,0.011671805671416019,0.4359554381941052,0.014207103162433421,0.0,0.011362415395022075,0.017389194250306765,0.02571275907561354,0.025974934104714544,0.0,0.012766955128635172,0.0,0.0,0.0,0.015313678537762984,0.01567380575360361,0.0,0.0,0.0
17,17,0.028322565581036817,0.02157975073240252,0.0,0.013249541473406456,0.0,0.010225875691030452,0.027088927902396955,0.0,0.4232711860887563,0.0,0.0,0.04327740046647762,0.0,0.011837571984530141,0.043857383920458376,0.0,0.0,0.012656918878705178,0.0,0.010568786874742116,0.020432209300226444,0.0,0.022547416348736776,0.013309304558967349,0.0,0.0,0.0,0.0,0.0,0.017636923937283545,0.011263983510117849,0.014321656763457933,0.026364972679875344,0.016008714630210488,0.02147889123994844,0.0,0.0,0.012164564579497158,0.0,0.0,0.0,0.0,0.0
18,18,0.018153831331459078,0.0,0.0,0.0,0.0,0.0,0.0,0.04135392077546261,0.0,0.0,0.0,0.07462405883281756,0.0,0.016578828579677452,0.011188376864959534,0.0,0.038564940133909764,0.0,0.022408042238246773,0.0,0.0,0.0,0.0,0.0,0.0,0.043393015210228425,0.0,0.0,0.0,0.36980312536250726,0.0209724462146442,0.01874401575032701,0.0,0.012044771111190513,0.0,0.0,0.0,0.021433827268984882,0.0,0.0,0.03743240494929682,0.056323789150923585,0.0
19,19,0.10497417476806405,0.01072413073705243,0.0,0.0,0.0,0.0,0.02527446724003269,0.0,0.0,0.06323276855216127,0.01100944624361396,0.0,0.0,0.013037557190608647,0.01113525511106019,0.0,0.0,0.0,0.0,0.02610085755985522,0.0,0.0,0.0,0.011901598877699374,0.0,0.045141009172153274,0.010586430850128626,0.0,0.022721558012361486,0.0,0.0,0.018224760063676418,0.017618511552372058,0.11455642773350823,0.0,0.028074347909363483,0.23124064710214626,0.028744650730922305,0.0,0.010050398747348666,0.0,0.010764761572879235,0.023157925144791758
