,Topic,Keywords,Children,Parent,Level
23,"(23,)","([('rock', 0.01402351539582014), ('deformation', 0.010317021980881691), ('crustal', 0.010131698101758957), ('metamorphism', 0.00901975017040968), ('age', 0.008649100549519062), ('dome', 0.008402001112699509), ('crust', 0.008402001112699509), ('monazite', 0.00809312704950571), ('zone', 0.008031351491808891), ('exhumation', 0.007907802239060402)],)","([],)","(0,)","(1,)"
24,"(24,)","([('ocean', 0.019387027248740196), ('science', 0.016965162009000778), ('scientist', 0.01454329676926136), ('program', 0.01454329676926136), ('proposal', 0.012121432460844517), ('expedition', 0.009699568152427673), ('bargaining', 0.009699568152427673), ('oceanography', 0.007277703378349543), ('scientific', 0.007277703378349543), ('cov', 0.007277703378349543)],)","([],)","(0,)","(1,)"
25,"(25,)","([('scattering', 0.02999751828610897), ('surface', 0.02365310862660408), ('evi', 0.015578407794237137), ('numerical', 0.013848114758729935), ('angle', 0.0126945860683918), ('wave', 0.01154105644673109), ('method', 0.010387527756392956), ('bistatic', 0.010387527756392956), ('direction', 0.009233999066054821), ('hyperion', 0.008657234720885754)],)","([],)","(0,)","(1,)"
26,"(26,)","([('group', 0.01861715130507946), ('fossil', 0.014785335399210453), ('formation', 0.012595727108418941), ('sclerite', 0.012595727108418941), ('chuar', 0.012595727108418941), ('microfossil', 0.012048324570059776), ('assemblage', 0.011500922031700611), ('specie', 0.010406117886304855), ('glaciation', 0.009311312809586525), ('tonian', 0.009311312809586525)],)","([],)","(0,)","(1,)"
27,"(27,)","([('berry', 0.01989874802529812), ('sulfur', 0.013780762441456318), ('sulfide', 0.013780762441456318), ('consortium', 0.012251266278326511), ('aggregate', 0.010721770115196705), ('green', 0.009192273020744324), ('microbial', 0.009192273020744324), ('diazotrophic', 0.006133280694484711), ('bacteria', 0.006133280694484711), ('iron', 0.006133280694484711)],)","([],)","(0,)","(1,)"
28,"(28,)","([('leaf', 0.025509672239422798), ('year', 0.022032661363482475), ('tree', 0.019714653491973877), ('defoliation', 0.015078638680279255), ('fire', 0.013919634744524956), ('carinulata', 0.013919634744524956), ('site', 0.012760630808770657), ('saltcedar', 0.012760630808770657), ('glauca', 0.012760630808770657), ('water', 0.011601627804338932)],)","([],)","(0,)","(1,)"
29,"(29,)","([('rainfall', 0.04349590465426445), ('moisture', 0.035765014588832855), ('soil', 0.03383229300379753), ('product', 0.02900049090385437), ('trend', 0.018370522186160088), ('precipitation', 0.016437798738479614), ('tmpa', 0.014505078084766865), ('estimate', 0.010639633983373642), ('station', 0.010639633983373642), ('region', 0.008706912398338318)],)","([],)","(0,)","(1,)"
30,"(30,)","([('genetic', 0.03927423432469368), ('population', 0.02790836989879608), ('selfing', 0.02274206653237343), ('inbreeding', 0.015509243123233318), ('partial', 0.014475981704890728), ('distance', 0.012409460730850697), ('outcrossing', 0.012409460730850697), ('gene', 0.012409460730850697), ('evolution', 0.012409460730850697), ('oceanographic', 0.01137620024383068)],)","([],)","(0,)","(1,)"
31,"(31,)","([('para', 0.012531140819191933), ('urban', 0.011279278434813023), ('imagens', 0.008775553666055202), ('urbana', 0.008775553666055202), ('terra', 0.008775553666055202), ('classifica', 0.00752369174733758), ('cobertura', 0.00752369174733758), ('nia', 0.006271829828619957), ('rea', 0.006271829828619957), ('que', 0.006271829828619957)],)","([],)","(0,)","(1,)"
32,"(32,)","([('fault', 0.046957772225141525), ('rate', 0.03671752288937569), ('slip', 0.015737509354948997), ('basin', 0.014488698914647102), ('deformation', 0.014488698914647102), ('terrace', 0.013739412650465965), ('uplift', 0.013739412650465965), ('along', 0.013739412650465965), ('fold', 0.01274036429822445), ('surface', 0.008494408801198006)],)","([],)","(0,)","(1,)"
33,"(33,)","([('fishery', 0.040970031172037125), ('management', 0.01990273781120777), ('reform', 0.015221117995679379), ('fishing', 0.014050713740289211), ('deforestation', 0.014050713740289211), ('stock', 0.009954295121133327), ('would', 0.009954295121133327), ('global', 0.009954295121133327), ('catch', 0.009954295121133327), ('benefit', 0.009369092993438244)],)","([],)","(0,)","(1,)"
34,"(34,)","([('magma', 0.032569874078035355), ('crystal', 0.027482423931360245), ('peritectic', 0.022394970059394836), ('h2o', 0.015272535383701324), ('fo2', 0.014255044050514698), ('arc', 0.014255044050514698), ('melt', 0.013237553648650646), ('magmatic', 0.012220063246786594), ('experiment', 0.011202572844922543), ('composition', 0.010185081511735916)],)","([],)","(0,)","(1,)"
35,"(35,)","([('forecast', 0.02828970178961754), ('rainfall', 0.02169097028672695), ('radiance', 0.01980561949312687), ('satellite', 0.016977591440081596), ('prediction', 0.015092240646481514), ('impact', 0.013206888921558857), ('heavy', 0.013206888921558857), ('improved', 0.012264212593436241), ('skill', 0.0113215371966362), ('observation', 0.0113215371966362)],)","([],)","(0,)","(1,)"
36,"(36,)","([('scientist', 0.016920020803809166), ('water', 0.015511193312704563), ('pvim', 0.01410236582159996), ('policy', 0.01410236582159996), ('priority', 0.012693538330495358), ('polyelectrolyte', 0.01128470990806818), ('question', 0.01128470990806818), ('policymakers', 0.01128470990806818), ('diffusion', 0.008467054925858974), ('complex', 0.008467054925858974)],)","([],)","(0,)","(1,)"
37,"(37,)","([('ice', 0.03487854450941086), ('age', 0.024387476965785027), ('10be', 0.01900017261505127), ('greenland', 0.017866002395749092), ('retreat', 0.017015375196933746), ('sheet', 0.015030579641461372), ('glacial', 0.01389641035348177), ('moraine', 0.013612867332994938), ('exposure', 0.011344528757035732), ('glacier', 0.010493901558220387)],)","([],)","(0,)","(1,)"
38,"(38,)","([('sierra', 0.02766784280538559), ('nevada', 0.016652962192893028), ('arc', 0.015116001479327679), ('fault', 0.012554401531815529), ('volcanic', 0.012298241257667542), ('basin', 0.011273601092398167), ('lava', 0.009736641310155392), ('walker', 0.00845584087073803), ('rock', 0.00845584087073803), ('silicic', 0.00845584087073803)],)","([],)","(0,)","(1,)"
39,"(39,)","([('los', 0.022496847435832024), ('del', 0.013697559013962746), ('change', 0.009786764159798622), ('cambio', 0.009786764159798622), ('climate', 0.008809065446257591), ('clim', 0.008809065446257591), ('con', 0.008809065446257591), ('tico', 0.00783136673271656), ('sur', 0.0068536680191755295), ('efectos', 0.005875969305634499)],)","([],)","(0,)","(1,)"
40,"(40,)","([('age', 0.0232996828854084), ('taxon', 0.011655663140118122), ('new', 0.009326859377324581), ('specie', 0.00816245749592781), ('synapomorphies', 0.00699805561453104), ('moquegua', 0.00699805561453104), ('leontiniids', 0.00699805561453104), ('interatheriids', 0.00699805561453104), ('postcranial', 0.00699805561453104), ('clade', 0.00699805561453104)],)","([],)","(0,)","(1,)"
41,"(41,)","([('para', 0.016577260568737984), ('especies', 0.015303066931664944), ('rinorea', 0.014028873294591904), ('specie', 0.012754679657518864), ('min', 0.012754679657518864), ('que', 0.011480486020445824), ('occupancy', 0.011480486020445824), ('≥', 0.010206292383372784), ('ocupaci', 0.010206292383372784), ('probability', 0.010206292383372784)],)","([],)","(0,)","(1,)"
42,"(42,)","([('infrasound', 0.032309435307979584), ('volcano', 0.029124446213245392), ('eruption', 0.02366446517407894), ('volcanic', 0.02366446517407894), ('source', 0.021389473229646683), ('acoustic', 0.020024478435516357), ('signal', 0.016384489834308624), ('jet', 0.015474493615329266), ('seismic', 0.013654501177370548), ('explosive', 0.013199502602219582)],)","([],)","(0,)","(1,)"
43,"(43,)","([('precipitation', 0.03186768293380737), ('variability', 0.01739398017525673), ('extreme', 0.017150724306702614), ('event', 0.0165425855666399), ('south', 0.014596543274819851), ('rainfall', 0.013623521663248539), ('monsoon', 0.012893755920231342), ('climate', 0.012650500051677227), ('mjo', 0.012163989245891571), ('america', 0.009488179348409176)],)","([],)","(0,)","(1,)"
44,"(44,)","([('glider', 0.046854350715875626), ('velocity', 0.03681771829724312), ('method', 0.021762767806649208), ('averaged', 0.015071678906679153), ('adcp', 0.015071678906679153), ('vertically', 0.013398906216025352), ('surfacing', 0.013398906216025352), ('current', 0.011726134456694126), ('adcps', 0.011726134456694126), ('horizontal', 0.006707817316055298)],)","([],)","(0,)","(1,)"
45,"(45,)","([('pressure', 0.035649873316287994), ('liquid', 0.024957047775387764), ('viscosity', 0.012838516384363174), ('gpa', 0.012125661596655846), ('coordination', 0.012125661596655846), ('dynamic', 0.011412806808948517), ('molecular', 0.011412806808948517), ('thermodynamic', 0.011412806808948517), ('simulation', 0.010699952021241188), ('oxygen', 0.010699952021241188)],)","([],)","(0,)","(1,)"
46,"(46,)","([('score', 0.020089995115995407), ('group', 0.016744451597332954), ('puntuaciones', 0.008380590006709099), ('voting', 0.008380590006709099), ('interest', 0.008380590006709099), ('congress', 0.006707817316055298), ('grupos', 0.006707817316055298), ('con', 0.006707817316055298), ('member', 0.006707817316055298), ('espec', 0.005035044625401497)],)","([],)","(0,)","(1,)"
47,"(47,)","([('electrical', 0.015232219360768795), ('transition', 0.012465240433812141), ('vo2', 0.009698261506855488), ('nanorods', 0.009698261506855488), ('activity', 0.008314771577715874), ('single', 0.008314771577715874), ('catalytic', 0.008314771577715874), ('oxidation', 0.006931282579898834), ('sample', 0.006931282579898834), ('hydrogen', 0.006931282579898834)],)","([],)","(0,)","(1,)"
48,"(48,)","([('emission', 0.04349047690629959), ('global', 0.02409001626074314), ('country', 0.016731223091483116), ('risk', 0.014724278822541237), ('carbon', 0.014055297710001469), ('material', 0.014055297710001469), ('metal', 0.0133863165974617), ('co2', 0.012717334553599358), ('energy', 0.011379372328519821), ('technology', 0.011379372328519821)],)","([],)","(0,)","(1,)"
49,"(49,)","([('protein', 0.024321096017956734), ('functional', 0.012170673348009586), ('yield', 0.010145602747797966), ('vector', 0.010145602747797966), ('integration', 0.00812053307890892), ('homogeneity', 0.00812053307890892), ('corona', 0.00812053307890892), ('membrane', 0.00812053307890892), ('biology', 0.00812053307890892), ('cell', 0.00812053307890892)],)","([],)","(0,)","(1,)"
