,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
100,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
101,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
102,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
103,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",,
104,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
105,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
106,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
107,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
108,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
109,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
110,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
111,12.0,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural",,
112,15.0,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",,
113,3.0,"sediment, river, rate, flow, watershed, channel, basin, stream, erosion, landscape",,
114,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
115,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
116,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
117,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
118,5.0,"process, system, understand, study, role, important, structure, provide, complex, interaction",,
119,2.0,"age, record, rock, date, early, ice, core, monazite, formation, ca",,
120,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
121,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
122,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
123,14.0,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate",,
124,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
125,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
126,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
127,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
128,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
129,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
130,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
131,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
132,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
133,19.0,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range",,
134,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
135,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
136,7.0,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water",,
137,5.0,"process, system, understand, study, role, important, structure, provide, complex, interaction",,
138,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
139,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
140,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
141,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
142,18.0,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil",,
143,12.0,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural",,
144,12.0,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural",,
145,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
146,12.0,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural",,
147,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
148,13.0,"climate, change, precipitation, variability, climate_change, event, rainfall, trend, region, response",,
149,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
150,0.0,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem",,
151,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
152,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
153,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
154,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
155,4.0,"model, scale, spatial, base, approach, predict, estimate, develop, method, distribution",,
156,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
157,10.0,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping",,
158,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
159,16.0,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban",,
160,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
161,9.0,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",,
162,6.0,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",,
163,4.0,"model, scale, spatial, base, approach, predict, estimate, develop, method, distribution",,
164,1.0,"high, increase, low, result, temperature, show, compare, difference, decrease, suggest",,
165,11.0,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",,
