id,Name,PI_primary_dept,PI_scholar_url,PI_scholar_keywords
111,Kostas Goulias,Geography,https://scholar.google.com/citations?user=xdXTW7wAAAAJ&view_op=list_works&sortby=pubdate,"Geoinformatics, Geoanalytics, Geosimulation, Cognitive and Behavioral Sciences, Transportation Modeling and Simulation"
89,Summer Gray,Environmental Studies,none,none
43,Larry Gurrola,Crustal Studies,none,none
44,Bradley Hacker,Earth Science,https://scholar.google.com/citations?user=KSvF4pEAAAAJ&view_op=list_works&sortby=pubdate,"geochronology, metamorphic petrology, tectonics, petrochronology, metamorphic geology"
45,Ben Halpern,Bren,https://scholar.google.com/citations?user=6XVuz14AAAAJ&view_op=list_works&sortby=pubdate,"Marine ecology, conservation biology"
46,Lee Hannah,Bren,https://scholar.google.com/citations?user=IX0xGBYAAAAJ&view_op=list_works&sortby=pubdate,climate change biology
96,Barbara Harthorn,Feminist Studies,https://scholar.google.com/citations?user=NnxLL5YAAAAJ&view_op=list_works&sortby=pubdate,"Risk perception, medical anthropology, health inequality, environmental health, deliberation"
153,William Haskell,ERI,https://scholar.google.com/citations?user=Af7YUqYAAAAJ&view_op=list_works&sortby=pubdate,"Marine biogeochemistry, Biological production, Carbon export, Physicochemical dynamics, Autonomous platforms"
48,Rachel Haymon,Earth Science,https://scholar.google.com/citations?user=6g-jc54AAAAJ&view_op=list_works&sortby=pubdate,
49,Trevor Hayton,Chemistry,none,none
154,Paul Hegarty,ERI,none,none
90,Robert Heilmayr,Environmental Studies,https://scholar.google.com/citations?user=4n0166UAAAAJ&view_op=list_works&sortby=pubdate,"Land Systems Science, Environmental Economics, Conservation Biology, Remote Sensing, Climate Policy"
50,Laura Hess,ERI,https://scholar.google.com/citations?user=ple6DvYAAAAJ&view_op=list_works&sortby=pubdate,"Remote Sensing, Wetland Ecology/Hydrology/Conservation, Land Cover / Land Use Change, Object-based Image Analysis, Synthetic Aperture Radar"
60,Scott Hodges,EEMB,https://scholar.google.com/citations?user=1Fr1vakAAAAJ&view_op=list_works&sortby=pubdate,"Evolution, Ecology"
61,Gretchen Hofmann,EEMB,https://scholar.google.com/citations?user=-PWYRzIAAAAJ&view_op=list_works&sortby=pubdate,"Global Change Biology, Ecological Physiology, Invertebrate Zoology, Environmental Genomics, Marine Ecology"
62,Sally Holbrook,EEMB,https://scholar.google.com/citations?user=LtUBsnwAAAAJ&view_op=list_works&sortby=pubdate,"Ecology, Population Biology, Community Ecology, Marine Ecology"
11,Patricia Holden,Bren,https://scholar.google.com/citations?user=UgmA89cAAAAJ&view_op=list_works&sortby=pubdate,"Water Quality, Soil Processes, Pollution"
156,Peter Homyak,ERI,https://scholar.google.com/citations?user=ktDIOUAAAAAJ&view_op=list_works&sortby=pubdate,Ecosystem & soil microbial processes
157,Greg Husak,Geography,https://scholar.google.com/citations?user=TL2FgTsAAAAJ&view_op=list_works&sortby=pubdate,"climate, food security, precipitation"
63,Debora Iglesias-Rodriguez,EEMB,none,none
